body,brand,cit,color,gear,price,usage,year
بدون رنگ,دنا معمولی 1700cc,تهران، یوسف‌آباد,قهوه‌ای,دنده‌ای,۹۶٫۰۰۰٫۰۰۰ تومان,۱۴۰,۲۰۱۵ - ۱۳۹۴
دو برگی,دنا معمولی 1700cc,اصفهان، پروین,بدون رنگ,۱۲۳٫۰۰۰٫۰۰۰ تومان,۲۴٫۵۰۰,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,دنا معمولی 1700cc,اصفهان، خانه اصفهان,سفید,دنده‌ای,۱۰۸٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۶ - ۱۳۹۵
بدون رنگ,دنا معمولی 1700cc,اصفهان، آتشگاه,خاکستری,دنده‌ای,۱۲۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، دی لایت ، صندلی برقی ، آینه تاشو برقی,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,اصفهان، میر,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
۰,دنا معمولی,اصفهان، پل شیری (صائب),توافقی,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,اصفهان، سه راه سیمین,سفید,دنده‌ای,۹۷٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی ، دوربین 360 درجه,۲۰۱۵ - ۱۳۹۴
بدون رنگ,دنا معمولی,اصفهان، بزرگمهر,مشکی,دنده‌ای,۱۰۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی,۲۰۱۵ - ۱۳۹۴
۱۴٫۳۰۰٫۰۰۰ تومان,دنا معمولی 1700cc,اصفهان، شهرضا,دنده‌ای,سنسور عقب و جلو ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی,۸۰٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
دنده‌ای,دنا معمولی,اصفهان، خانه اصفهان,بدون رنگ,۱۱۲٫۰۰۰٫۰۰۰ تومان,۶۷٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,دنا معمولی 1700cc,اصفهان، پل وحید,سفید,دنده‌ای,۱۱۷٫۰۰۰٫۰۰۰ تومان,۶۶٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,دنا معمولی 1700cc,اصفهان، خانه اصفهان,مشکی,دنده‌ای,۲۴٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
نقدی,فروشی,اصفهان، خانه اصفهان,سفید,بدون رنگ,دنده‌ای,توافقی,دنا معمولی 1700cc
بدون رنگ,دنا معمولی,اصفهان، زینبیه,سفید,دنده‌ای,۱۱۵٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی,۲۰۱۷ - ۱۳۹۶
بدون رنگ,دنا معمولی,اصفهان، جلفا,مشکی,دنده‌ای,۱۳۰٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,اصفهان، خمینی شهر,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,اصفهان، پروین,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
