body,brand,cit,color,gear,price,usage,year
نقدی,فروشی,کرج، گوهردشت,سفید,بدون رنگ,اتوماتیک,توافقی,جک S5 اتوماتیک
بدون رنگ,جک S5 اتوماتیک,کرج، محمد شهر,سفید,اتوماتیک,۲۶۵٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، کروز کنترل ، اتو هلد ، رادار ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، کول باکس ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,تهران، ولنجک,مشکی,اتوماتیک,۰,,۲۰۱۹ - ۱۳۹۸
دو لکه رنگ,جک S5 اتوماتیک,کرج، مهرشهر,سفید,اتوماتیک,۲۲۸٫۰۰۰٫۰۰۰ تومان,۳۳٫۰۰۰,۲۰۱۶ - ۱۳۹۵
بدون رنگ,جک S5 دنده‌ای,کرج، مهرشهر,مشکی,دنده‌ای,۱۹۵٫۰۰۰٫۰۰۰ تومان,سانروف ، دی لایت,۲۰۱۵ - ۱۳۹۴
اتوماتیک,جک S5 اتوماتیک,تهران، رباط کریم,بدون رنگ,۲۶۸٫۰۰۰٫۰۰۰ تومان,۲۸٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
تصادفی,جک S5 اتوماتیک,تهران، فرودگاه مهر‌آباد,سفید,اتوماتیک,۲۲۰٫۰۰۰٫۰۰۰ تومان,۷۰٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,تهران، سعادت‌آباد,مشکی,اتوماتیک,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,تهران، شیان,سفید,اتوماتیک,۳٫۶۰۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,تهران، اکباتان,نقره‌ای,اتوماتیک,۲۶۰٫۰۰۰٫۰۰۰ تومان,۳۳٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,تهران، مجیدیه,سفید,اتوماتیک,۲۶۳٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، رادار ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,تهران، سعادت‌آباد,سفید,اتوماتیک,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,تهران، ستارخان,نقدی,اتوماتیک,توافقی,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,تهران، تهرانپارس غربی,سفید,اتوماتیک,۰,,۲۰۱۹ - ۱۳۹۸
تک برگی,جک S5 اتوماتیک,تهران، شهرک فاطمه الزهرا,بدون رنگ,توافقی,۱۵٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 اتوماتیک,تهران، منظریه,نقدی,اتوماتیک,توافقی,۳,۲۰۱۸ - ۱۳۹۷
اتوماتیک,جک S5 اتوماتیک,تهران، آجودانیه,بدون رنگ,توافقی,۸۰۰,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 دنده‌ای,تهران، ازگل,مشکی,دنده‌ای,۱۹۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، سانروف ، کروز کنترل ، اتو هلد ، آینه تاشو برقی ، ترمز دستی برقی,۲۰۱۵ - ۱۳۹۴
۲۶۸٫۰۰۰٫۰۰۰ تومان,جک S5 اتوماتیک,تهران، آجودانیه,اتوماتیک,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۶۳٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,اهواز، کیانپارس,سفید صدفی,اتوماتیک,۲۷۰٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، اتو هلد ، رادار ، صندلی برقی ، آینه تاشو برقی ، کول باکس ، ترمز دستی برقی,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 اتوماتیک,تهران، ایرانشهر,سفید,اتوماتیک,۲۹۴٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، اتو هلد ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 اتوماتیک,اهواز، گلستان,سفید,اتوماتیک,۲۶۵٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۲۰۱۷ - ۱۳۹۶
۲۸۸٫۰۰۰٫۰۰۰ تومان,جک S5 اتوماتیک,تهران، پونک,تک برگی,۲٫۵۰۰,,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 دنده‌ای,تهران، تهران‌سر,سفید,دنده‌ای,۲۳۰٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، کولر دوال ، دی لایت ، آینه تاشو برقی ، ترمز دستی برقی,۲۰۱۷ - ۱۳۹۶
,جک S5 اتوماتیک,تهران، تهران‌سر,۹٫۰۰۰,,,,۲۰۱۸ - ۱۳۹۷
