body,brand,cit,color,gear,price,usage,year
بدون رنگ,پژو 206 تیپ ۲,مشهد، فرامرز عباسی,سفید,دنده‌ای,۵۱٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,پژو 206 تیپ ۲,شیراز، فرگاز,سفید,دنده‌ای,۸۲٫۰۰۰٫۰۰۰ تومان,۵۷٫۰۰۰,۲۰۱۷ - ۱۳۹۶
چند لکه رنگ,پژو 206 تیپ ۲,مشهد، هفت تیر,نقره‌ای,دنده‌ای,۳۵٫۰۰۰٫۰۰۰ تومان,۳۵۰٫۰۰۰,۲۰۰۵ - ۱۳۸۴
دنده‌ای,پژو 206 تیپ ۲,مشهد، طبرسی,پوست‌پیازی,۲۷٫۰۰۰٫۰۰۰ تومان,۴۰۰,,۲۰۰۲ - ۱۳۸۱
چند لکه رنگ,پژو 206 تیپ ۲,مشهد، گلبهار,سفید,دنده‌ای,۴۹٫۰۰۰٫۰۰۰ تومان,۲۷۴٫۰۰۰,۲۰۰۸ - ۱۳۸۷
,پژو 206 تیپ ۲,مشهد، بلوار الهیه,۲۱۲٫۱۳۴,,,,۲۰۰۸ - ۱۳۸۷
۰,پژو 206 تیپ ۲,مشهد، امام رضا,دنده‌ای,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,پژو 206 تیپ ۲,مشهد، قاسم آباد (شهرک غرب),سفید,دنده‌ای,۸۶٫۰۰۰٫۰۰۰ تومان,دی لایت,۲۰۱۸ - ۱۳۹۷
بدون رنگ,پژو 206 تیپ ۲,مشهد، قاسم آباد (شهرک غرب),خاکستری,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,پژو 206 تیپ ۲,مشهد، کاشمر,چند لکه رنگ,توافقی,۳۰٫۰۰۰,,۲۰۰۴ - ۱۳۸۳
,پژو 206 تیپ ۲,مشهد، ابوطالب,,,,,۲۰۰۸ - ۱۳۸۷
بدون رنگ,پژو 206 تیپ ۲,مشهد، پیروزی,سفید,دنده‌ای,هستم,۰,۲۰۱۹ - ۱۳۹۸
۶۶٫۰۰۰٫۰۰۰ تومان,پژو 206 تیپ ۲,مشهد، وکیل آباد,دنده‌ای,۱۴۵,,,۲۰۱۲ - ۱۳۹۱
