body,brand,cit,color,gear,price,usage,year
بدون رنگ,تیبا صندوق‌دار EX,کرج، هفت تیر,نقدی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
دو لکه رنگ,تیبا صندوق‌دار SX,کرج، فردیس,سفید,دنده‌ای,۱۵۰٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,تیبا صندوق‌دار SX,کرج، هفت تیر,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
۶۸٫۰۰۰,تیبا صندوق‌دار EX,کرج، کیانمهر,هستم,,,,۲۰۱۷ - ۱۳۹۶
دو لکه رنگ,تیبا صندوق‌دار EX,کرج، فردیس,سفید,دنده‌ای,۶۰٫۰۰۰,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,تیبا صندوق‌دار SX,کرج، آزادگان,سفید,دنده‌ای,۲۷٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,تیبا صندوق‌دار LX,کرج، فردیس,سفید,دنده‌ای,۱۱۰٫۰۰۰,,۲۰۱۴ - ۱۳۹۳
بدون رنگ,تیبا صندوق‌دار EX,کرج، مارلیک,سفید,دنده‌ای,۴۸٫۰۰۰٫۰۰۰ تومان,۱۵۰٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,تیبا صندوق‌دار SX,کرج، ماهدشت,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,کرج، ملارد,سفید,دنده‌ای,۵۵٫۰۰۰٫۰۰۰ تومان,۴۵٫۰۰۰,۲۰۱۸ - ۱۳۹۷
دو لکه رنگ,تیبا صندوق‌دار EX,کرج، مهرشهر,سفید,دنده‌ای,۴۸٫۴۰۰٫۰۰۰ تومان,۸۳٫۰۰۰,۲۰۱۶ - ۱۳۹۵
دنده‌ای,تیبا صندوق‌دار EX,کرج، شهریار,سفید,۴۵٫۰۰۰٫۰۰۰ تومان,۷۰٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
دو لکه رنگ,تیبا صندوق‌دار EX,کرج، مهرشهر,سفید,دنده‌ای,۴۸٫۰۰۰٫۰۰۰ تومان,دی لایت,۲۰۱۶ - ۱۳۹۵
بدون رنگ,تیبا صندوق‌دار SX,کرج، منظریه,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
,,,,,,,
,تیبا صندوق‌دار EX,کرج، مشکین دشت,۸۵٫۰۰۰,,,,۲۰۱۷ - ۱۳۹۶
,تیبا صندوق‌دار SX,کرج، آزادگان,,,,,۲۰۱۹ - ۱۳۹۸
۰,تیبا صندوق‌دار EX,کرج، گوهردشت,توافقی,,,,۲۰۱۹ - ۱۳۹۸
یک لکه رنگ,تیبا صندوق‌دار SX,کرج، عظیمیه,سفید,دنده‌ای,۲۰٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,تیبا صندوق‌دار SX,مشهد، اندیشه,سفید,دنده‌ای,۵۵٫۵۰۰٫۰۰۰ تومان,۵۹٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,تیبا صندوق‌دار EX,مشهد، امام خمینی,سفید,دنده‌ای,۵۵٫۷۰۰٫۰۰۰ تومان,۱,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,مشهد، وکیل آباد,سفید,دنده‌ای,۱۰,,۲۰۱۹ - ۱۳۹۸
