body,brand,cit,color,gear,price,usage,year
چند لکه رنگ,پژو پارس ساده,اصفهان، فولادشهر,نقره‌ای,دنده‌ای,۴۰٫۰۰۰٫۰۰۰ تومان,دنده پشت فرمان,۲۰۰۵ - ۱۳۸۴
دو لکه رنگ,پژو پارس ساده,رشت,سفید,دنده‌ای,فرمان برقی ، کولر دوال ، دی لایت,۲۲۰٫۰۰۰,۲۰۰۷ - ۱۳۸۶
یک لکه رنگ,پژو پارس ساده,رشت,سفید,دنده‌ای,۷۲٫۰۰۰٫۰۰۰ تومان,۱۵۵,۲۰۱۴ - ۱۳۹۳
چند لکه رنگ,پژو پارس ساده,رشت,نقره‌ای,دنده‌ای,۴۵٫۰۰۰٫۰۰۰ تومان,۲۸۱٫۰۰۰,۲۰۰۷ - ۱۳۸۶
دو لکه رنگ,پژو پارس ساده,رشت,نقره‌ای,دنده‌ای,۵۰٫۰۰۰٫۰۰۰ تومان,۱۴۷,۲۰۰۷ - ۱۳۸۶
چند لکه رنگ,پژو پارس ساده,رشت,بژ,دنده‌ای,۳۸٫۰۰۰٫۰۰۰ تومان,۲۰۰٫۰۰۰,۲۰۰۶ - ۱۳۸۵
دو لکه رنگ,پژو پارس ساده,رشت,سفید,دنده‌ای,۵۹٫۵۰۰٫۰۰۰ تومان,۱۸۰,۲۰۰۸ - ۱۳۸۷
یک لکه رنگ,پژو پارس ساده,رشت,یشمی,دنده‌ای,۲۸۰٫۰۰۰,,۲۰۰۲ - ۱۳۸۱
بدون رنگ,پژو پارس ساده,رشت,نقدی,دنده‌ای,توافقی,۹۹٫۰۰۰,۲۰۱۶ - ۱۳۹۵
بدون رنگ,پژو پارس ساده,تبریز,مشکی,دنده‌ای,۷۰٫۰۰۰٫۰۰۰ تومان,۱۳۰٫۰۰۰,۲۰۱۲ - ۱۳۹۱
چند لکه رنگ,پژو پارس ساده,رشت,زیتونی,دنده‌ای,۵۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، آینه تاشو برقی,۲۰۰۷ - ۱۳۸۶
بدون رنگ,پژو پارس ساده,تبریز,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,پژو پارس ساده,تبریز,دو لکه رنگ,۵۱٫۰۰۰٫۰۰۰ تومان,۲۵۰,,۲۰۰۷ - ۱۳۸۶
یک لکه رنگ,پژو پارس ساده,رشت,نقره‌ای,دنده‌ای,۵۴٫۰۰۰٫۰۰۰ تومان,۲۸۰٫۰۰۰,۲۰۰۹ - ۱۳۸۸
